=== 业务单据抽样样本 (覆盖6大单据类型且每类不少于30条，含正式与测试业务) ===
ID=000004 | 单位ID=0001 | 单号=DOC-00000004 | 类型=采购结算单  | 性质=正式业务 | 申请人=雷梦溪  | 金额= 21169.10 | 状态=处理完成  | 提交=2026-08-11 15:07:25 | 审批=2026-08-12 18:16:25
ID=122604 | 单位ID=0580 | 单号=DOC-00122604 | 类型=采购结算单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额=  5281.69 | 状态=处理完成  | 提交=2026-07-19 09:58:22 | 审批=2026-07-21 07:07:22
ID=122612 | 单位ID=0580 | 单号=DOC-00122612 | 类型=采购结算单  | 性质=双轨测试 | 申请人=倪子明  | 金额= 83672.88 | 状态=处理完成  | 提交=2026-08-04 11:03:30 | 审批=2026-08-04 18:39:30
ID=122617 | 单位ID=0580 | 单号=DOC-00122617 | 类型=采购结算单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 61931.23 | 状态=处理完成  | 提交=2026-06-21 10:23:46 | 审批=2026-06-22 21:02:46
ID=122618 | 单位ID=0580 | 单号=DOC-00122618 | 类型=采购结算单  | 性质=双轨测试 | 申请人=倪子明  | 金额= 29443.86 | 状态=审批中   | 提交=2026-07-14 16:34:50 | 审批=无
ID=122629 | 单位ID=0580 | 单号=DOC-00122629 | 类型=采购结算单  | 性质=双轨测试 | 申请人=云若涵  | 金额= 41337.08 | 状态=处理完成  | 提交=2026-07-19 17:17:22 | 审批=2026-07-20 07:03:22
ID=122635 | 单位ID=0580 | 单号=DOC-00122635 | 类型=采购结算单  | 性质=双轨测试 | 申请人=倪子明  | 金额= 40959.76 | 状态=处理完成  | 提交=2026-07-14 08:11:11 | 审批=2026-07-16 07:05:11
ID=122637 | 单位ID=0580 | 单号=DOC-00122637 | 类型=采购结算单  | 性质=双轨测试 | 申请人=云若涵  | 金额= 27130.46 | 状态=处理完成  | 提交=2026-08-22 08:12:42 | 审批=2026-08-24 08:42:42
ID=122672 | 单位ID=0580 | 单号=DOC-00122672 | 类型=采购结算单  | 性质=双轨测试 | 申请人=倪子明  | 金额=  4298.66 | 状态=处理完成  | 提交=2026-08-12 09:54:30 | 审批=2026-08-13 01:15:30
ID=122673 | 单位ID=0580 | 单号=DOC-00122673 | 类型=采购结算单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 29235.96 | 状态=处理完成  | 提交=2026-06-14 10:39:45 | 审批=2026-06-16 06:40:45
ID=122674 | 单位ID=0580 | 单号=DOC-00122674 | 类型=采购结算单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 44488.09 | 状态=处理完成  | 提交=2026-06-10 14:59:12 | 审批=2026-06-11 23:31:12
ID=122687 | 单位ID=0580 | 单号=DOC-00122687 | 类型=采购结算单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 12038.16 | 状态=审批中   | 提交=2026-06-23 15:34:56 | 审批=无
ID=122691 | 单位ID=0580 | 单号=DOC-00122691 | 类型=采购结算单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 81064.70 | 状态=处理完成  | 提交=2026-08-05 17:03:35 | 审批=2026-08-05 19:28:35
ID=000005 | 单位ID=0001 | 单号=DOC-00000005 | 类型=费用报销单  | 性质=正式业务 | 申请人=凤少陵  | 金额= 20140.71 | 状态=处理完成  | 提交=2025-12-26 13:37:36 | 审批=2025-12-26 19:14:36
ID=000008 | 单位ID=0001 | 单号=DOC-00000008 | 类型=费用报销单  | 性质=正式业务 | 申请人=米涵亮  | 金额= 25268.87 | 状态=处理完成  | 提交=2026-03-14 13:55:12 | 审批=2026-03-16 02:08:12
ID=000009 | 单位ID=0001 | 单号=DOC-00000009 | 类型=费用报销单  | 性质=正式业务 | 申请人=米涵亮  | 金额= 26073.14 | 状态=处理完成  | 提交=2026-08-22 08:48:37 | 审批=2026-08-23 06:36:37
ID=000011 | 单位ID=0001 | 单号=DOC-00000011 | 类型=费用报销单  | 性质=正式业务 | 申请人=汤高山  | 金额= 80307.80 | 状态=处理完成  | 提交=2026-01-27 10:28:50 | 审批=2026-01-27 13:36:50
ID=000017 | 单位ID=0001 | 单号=DOC-00000017 | 类型=费用报销单  | 性质=正式业务 | 申请人=雷梦溪  | 金额= 70837.40 | 状态=处理完成  | 提交=2026-04-14 08:58:10 | 审批=2026-04-14 12:14:10
ID=000020 | 单位ID=0001 | 单号=DOC-00000020 | 类型=费用报销单  | 性质=正式业务 | 申请人=卜风华  | 金额= 50245.86 | 状态=处理完成  | 提交=2026-01-15 12:09:39 | 审批=2026-01-17 02:46:39
ID=000021 | 单位ID=0001 | 单号=DOC-00000021 | 类型=费用报销单  | 性质=正式业务 | 申请人=孟明德  | 金额=   325.99 | 状态=处理完成  | 提交=2026-06-30 08:33:35 | 审批=2026-07-02 05:01:35
ID=000028 | 单位ID=0001 | 单号=DOC-00000028 | 类型=费用报销单  | 性质=正式业务 | 申请人=葛墨林  | 金额= 13652.05 | 状态=处理完成  | 提交=2026-07-07 12:17:37 | 审批=2026-07-09 00:27:37
ID=000035 | 单位ID=0001 | 单号=DOC-00000035 | 类型=费用报销单  | 性质=正式业务 | 申请人=孟明德  | 金额=   696.01 | 状态=处理完成  | 提交=2025-11-11 09:13:06 | 审批=2025-11-12 01:49:06
ID=000039 | 单位ID=0001 | 单号=DOC-00000039 | 类型=费用报销单  | 性质=正式业务 | 申请人=雷梦溪  | 金额= 42139.33 | 状态=处理完成  | 提交=2026-07-09 15:59:53 | 审批=2026-07-09 20:28:53
ID=000042 | 单位ID=0001 | 单号=DOC-00000042 | 类型=费用报销单  | 性质=正式业务 | 申请人=孟明德  | 金额=  9922.25 | 状态=处理完成  | 提交=2026-08-18 14:53:42 | 审批=2026-08-20 05:25:42
ID=000046 | 单位ID=0001 | 单号=DOC-00000046 | 类型=费用报销单  | 性质=正式业务 | 申请人=褚熹   | 金额= 57857.30 | 状态=处理完成  | 提交=2026-04-14 12:06:44 | 审批=2026-04-16 01:39:44
ID=000051 | 单位ID=0001 | 单号=DOC-00000051 | 类型=费用报销单  | 性质=正式业务 | 申请人=贝梦竹  | 金额= 83010.80 | 状态=处理完成  | 提交=2026-01-01 16:02:02 | 审批=2026-01-02 21:27:02
ID=000052 | 单位ID=0001 | 单号=DOC-00000052 | 类型=费用报销单  | 性质=正式业务 | 申请人=米涵亮  | 金额= 37049.37 | 状态=处理完成  | 提交=2026-01-08 10:11:43 | 审批=2026-01-09 14:51:43
ID=000054 | 单位ID=0001 | 单号=DOC-00000054 | 类型=费用报销单  | 性质=正式业务 | 申请人=凤少陵  | 金额= 27921.30 | 状态=处理完成  | 提交=2025-11-03 11:50:29 | 审批=2025-11-04 17:38:29
ID=000060 | 单位ID=0001 | 单号=DOC-00000060 | 类型=费用报销单  | 性质=正式业务 | 申请人=凤少陵  | 金额= 38954.40 | 状态=处理完成  | 提交=2026-07-13 15:34:28 | 审批=2026-07-15 06:56:28
ID=000066 | 单位ID=0001 | 单号=DOC-00000066 | 类型=费用报销单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 59610.95 | 状态=处理完成  | 提交=2026-08-03 14:00:44 | 审批=2026-08-04 08:39:44
ID=000072 | 单位ID=0001 | 单号=DOC-00000072 | 类型=费用报销单  | 性质=正式业务 | 申请人=贝梦竹  | 金额= 62762.20 | 状态=处理完成  | 提交=2026-04-07 10:05:14 | 审批=2026-04-09 05:21:14
ID=000078 | 单位ID=0001 | 单号=DOC-00000078 | 类型=费用报销单  | 性质=正式业务 | 申请人=贝梦竹  | 金额= 69844.43 | 状态=处理完成  | 提交=2026-01-15 13:25:09 | 审批=2026-01-17 02:00:09
ID=000079 | 单位ID=0001 | 单号=DOC-00000079 | 类型=费用报销单  | 性质=正式业务 | 申请人=葛墨林  | 金额= 31682.99 | 状态=处理完成  | 提交=2026-01-04 11:00:02 | 审批=2026-01-04 20:41:02
ID=122584 | 单位ID=0580 | 单号=DOC-00122584 | 类型=费用报销单  | 性质=双轨测试 | 申请人=云若涵  | 金额= 74786.83 | 状态=生成失败  | 提交=2026-06-10 15:15:38 | 审批=2026-06-11 05:58:38
ID=122587 | 单位ID=0580 | 单号=DOC-00122587 | 类型=费用报销单  | 性质=双轨测试 | 申请人=倪子明  | 金额=  3288.62 | 状态=处理完成  | 提交=2026-08-11 15:56:34 | 审批=2026-08-11 21:49:34
ID=122597 | 单位ID=0580 | 单号=DOC-00122597 | 类型=费用报销单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 68068.72 | 状态=处理完成  | 提交=2026-07-25 08:15:22 | 审批=2026-07-25 14:05:22
ID=122603 | 单位ID=0580 | 单号=DOC-00122603 | 类型=费用报销单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 78748.29 | 状态=处理完成  | 提交=2026-07-04 14:40:09 | 审批=2026-07-05 09:43:09
ID=122608 | 单位ID=0580 | 单号=DOC-00122608 | 类型=费用报销单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 32767.15 | 状态=处理完成  | 提交=2026-07-28 08:05:44 | 审批=2026-07-28 12:23:44
ID=122610 | 单位ID=0580 | 单号=DOC-00122610 | 类型=费用报销单  | 性质=双轨测试 | 申请人=方婉儿  | 金额= 41413.54 | 状态=处理完成  | 提交=2026-08-02 11:25:36 | 审批=2026-08-04 11:57:36
ID=122615 | 单位ID=0580 | 单号=DOC-00122615 | 类型=费用报销单  | 性质=双轨测试 | 申请人=方婉儿  | 金额= 24902.60 | 状态=待生成凭证 | 提交=2026-08-15 14:53:54 | 审批=无
ID=122619 | 单位ID=0580 | 单号=DOC-00122619 | 类型=费用报销单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 47296.88 | 状态=处理完成  | 提交=2026-07-06 17:23:54 | 审批=2026-07-07 03:01:54
ID=122626 | 单位ID=0580 | 单号=DOC-00122626 | 类型=费用报销单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 80121.82 | 状态=处理完成  | 提交=2026-06-21 10:08:39 | 审批=2026-06-21 18:39:39
ID=122638 | 单位ID=0580 | 单号=DOC-00122638 | 类型=费用报销单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 48861.59 | 状态=处理完成  | 提交=2026-08-28 08:01:52 | 审批=2026-08-28 20:56:52
ID=122641 | 单位ID=0580 | 单号=DOC-00122641 | 类型=费用报销单  | 性质=双轨测试 | 申请人=云若涵  | 金额= 43089.46 | 状态=处理完成  | 提交=2026-08-22 10:12:02 | 审批=2026-08-23 00:34:02
ID=122647 | 单位ID=0580 | 单号=DOC-00122647 | 类型=费用报销单  | 性质=双轨测试 | 申请人=穆商隐  | 金额=  5985.69 | 状态=处理完成  | 提交=2026-07-09 14:25:37 | 审批=2026-07-10 17:14:37
ID=122649 | 单位ID=0580 | 单号=DOC-00122649 | 类型=费用报销单  | 性质=双轨测试 | 申请人=倪子明  | 金额= 68199.14 | 状态=处理完成  | 提交=2026-07-10 11:00:55 | 审批=2026-07-10 14:41:55
ID=122651 | 单位ID=0580 | 单号=DOC-00122651 | 类型=费用报销单  | 性质=双轨测试 | 申请人=倪子明  | 金额= 50213.26 | 状态=待生成凭证 | 提交=2026-06-21 15:49:11 | 审批=无
ID=122652 | 单位ID=0580 | 单号=DOC-00122652 | 类型=费用报销单  | 性质=双轨测试 | 申请人=倪子明  | 金额= 60330.90 | 状态=已驳回   | 提交=2026-08-12 16:34:38 | 审批=无
ID=000001 | 单位ID=0001 | 单号=DOC-00000001 | 类型=工程付款单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 12087.37 | 状态=处理完成  | 提交=2026-08-14 17:32:51 | 审批=2026-08-16 01:54:51
ID=000022 | 单位ID=0001 | 单号=DOC-00000022 | 类型=工程付款单  | 性质=正式业务 | 申请人=凤少陵  | 金额= 64492.44 | 状态=处理完成  | 提交=2026-03-06 09:06:52 | 审批=2026-03-06 19:01:52
ID=000030 | 单位ID=0001 | 单号=DOC-00000030 | 类型=工程付款单  | 性质=正式业务 | 申请人=褚熹   | 金额= 42386.93 | 状态=处理完成  | 提交=2026-08-13 12:53:49 | 审批=2026-08-14 00:07:49
ID=000036 | 单位ID=0001 | 单号=DOC-00000036 | 类型=工程付款单  | 性质=正式业务 | 申请人=葛墨林  | 金额= 82835.07 | 状态=处理完成  | 提交=2025-12-03 17:55:06 | 审批=2025-12-05 09:34:06
ID=000041 | 单位ID=0001 | 单号=DOC-00000041 | 类型=工程付款单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 82470.97 | 状态=处理完成  | 提交=2026-04-05 11:33:12 | 审批=2026-04-05 15:32:12
ID=000044 | 单位ID=0001 | 单号=DOC-00000044 | 类型=工程付款单  | 性质=正式业务 | 申请人=贝梦竹  | 金额= 37821.36 | 状态=处理完成  | 提交=2026-07-20 14:03:03 | 审批=2026-07-21 10:31:03
ID=000048 | 单位ID=0001 | 单号=DOC-00000048 | 类型=工程付款单  | 性质=正式业务 | 申请人=赵俊豪  | 金额= 12978.88 | 状态=处理完成  | 提交=2026-01-20 12:32:02 | 审批=2026-01-21 20:47:02
ID=000056 | 单位ID=0001 | 单号=DOC-00000056 | 类型=工程付款单  | 性质=正式业务 | 申请人=贝梦竹  | 金额= 63086.90 | 状态=审批中   | 提交=2025-12-08 13:50:50 | 审批=无
ID=000064 | 单位ID=0001 | 单号=DOC-00000064 | 类型=工程付款单  | 性质=正式业务 | 申请人=葛墨林  | 金额= 46678.71 | 状态=处理完成  | 提交=2025-12-30 11:53:52 | 审批=2025-12-31 18:02:52
ID=000065 | 单位ID=0001 | 单号=DOC-00000065 | 类型=工程付款单  | 性质=正式业务 | 申请人=凤少陵  | 金额= 29901.66 | 状态=待生成凭证 | 提交=2026-05-23 14:46:32 | 审批=无
ID=000076 | 单位ID=0001 | 单号=DOC-00000076 | 类型=工程付款单  | 性质=正式业务 | 申请人=孟明德  | 金额= 54014.52 | 状态=处理完成  | 提交=2026-02-27 13:30:34 | 审批=2026-02-27 21:51:34
ID=000083 | 单位ID=0001 | 单号=DOC-00000083 | 类型=工程付款单  | 性质=正式业务 | 申请人=孟明德  | 金额= 29661.31 | 状态=处理完成  | 提交=2026-04-18 15:45:20 | 审批=2026-04-19 21:06:20
ID=000092 | 单位ID=0001 | 单号=DOC-00000092 | 类型=工程付款单  | 性质=正式业务 | 申请人=孟明德  | 金额= 29459.87 | 状态=处理完成  | 提交=2026-08-25 15:01:41 | 审批=2026-08-27 03:39:41
ID=000093 | 单位ID=0001 | 单号=DOC-00000093 | 类型=工程付款单  | 性质=正式业务 | 申请人=葛墨林  | 金额= 40034.68 | 状态=处理完成  | 提交=2026-03-06 13:45:43 | 审批=2026-03-07 19:40:43
ID=000102 | 单位ID=0001 | 单号=DOC-00000102 | 类型=工程付款单  | 性质=正式业务 | 申请人=褚熹   | 金额= 74431.70 | 状态=处理完成  | 提交=2026-03-05 16:53:11 | 审批=2026-03-06 16:20:11
ID=000104 | 单位ID=0001 | 单号=DOC-00000104 | 类型=工程付款单  | 性质=正式业务 | 申请人=雷梦溪  | 金额= 63599.37 | 状态=处理完成  | 提交=2025-12-13 08:01:10 | 审批=2025-12-13 14:57:10
ID=000107 | 单位ID=0001 | 单号=DOC-00000107 | 类型=工程付款单  | 性质=正式业务 | 申请人=卜风华  | 金额=  7526.67 | 状态=处理完成  | 提交=2026-01-24 08:38:53 | 审批=2026-01-25 21:17:53
ID=000115 | 单位ID=0001 | 单号=DOC-00000115 | 类型=工程付款单  | 性质=正式业务 | 申请人=孟明德  | 金额= 69097.37 | 状态=处理完成  | 提交=2025-11-17 17:40:22 | 审批=2025-11-18 08:01:22
ID=000117 | 单位ID=0001 | 单号=DOC-00000117 | 类型=工程付款单  | 性质=正式业务 | 申请人=贝梦竹  | 金额=  1601.92 | 状态=处理完成  | 提交=2026-06-24 12:56:11 | 审批=2026-06-25 00:08:11
ID=000123 | 单位ID=0001 | 单号=DOC-00000123 | 类型=工程付款单  | 性质=正式业务 | 申请人=米涵亮  | 金额= 61605.54 | 状态=处理完成  | 提交=2026-02-10 14:51:37 | 审批=2026-02-11 14:55:37
ID=122606 | 单位ID=0580 | 单号=DOC-00122606 | 类型=工程付款单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 74358.45 | 状态=处理完成  | 提交=2026-07-15 13:12:30 | 审批=2026-07-16 14:34:30
ID=122607 | 单位ID=0580 | 单号=DOC-00122607 | 类型=工程付款单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 37925.91 | 状态=处理完成  | 提交=2026-06-13 14:54:53 | 审批=2026-06-14 11:43:53
ID=122614 | 单位ID=0580 | 单号=DOC-00122614 | 类型=工程付款单  | 性质=双轨测试 | 申请人=方婉儿  | 金额= 71770.34 | 状态=处理完成  | 提交=2026-07-22 08:54:09 | 审批=2026-07-23 20:17:09
ID=122620 | 单位ID=0580 | 单号=DOC-00122620 | 类型=工程付款单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 28549.87 | 状态=处理完成  | 提交=2026-08-16 09:15:47 | 审批=2026-08-18 06:46:47
ID=122628 | 单位ID=0580 | 单号=DOC-00122628 | 类型=工程付款单  | 性质=双轨测试 | 申请人=云若涵  | 金额= 28105.35 | 状态=生成失败  | 提交=2026-08-28 17:41:07 | 审批=2026-08-30 01:55:07
ID=122632 | 单位ID=0580 | 单号=DOC-00122632 | 类型=工程付款单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 39156.51 | 状态=处理完成  | 提交=2026-08-17 12:49:45 | 审批=2026-08-18 06:01:45
ID=122640 | 单位ID=0580 | 单号=DOC-00122640 | 类型=工程付款单  | 性质=双轨测试 | 申请人=方婉儿  | 金额= 79086.98 | 状态=处理完成  | 提交=2026-06-17 13:53:33 | 审批=2026-06-19 13:03:33
ID=122661 | 单位ID=0580 | 单号=DOC-00122661 | 类型=工程付款单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额= 62753.36 | 状态=处理完成  | 提交=2026-08-15 10:06:30 | 审批=2026-08-16 18:12:30
ID=122667 | 单位ID=0580 | 单号=DOC-00122667 | 类型=工程付款单  | 性质=双轨测试 | 申请人=倪子明  | 金额=  8784.58 | 状态=处理完成  | 提交=2026-07-22 15:59:24 | 审批=2026-07-24 08:46:24
ID=122678 | 单位ID=0580 | 单号=DOC-00122678 | 类型=工程付款单  | 性质=双轨测试 | 申请人=云若涵  | 金额= 73084.85 | 状态=处理完成  | 提交=2026-08-19 09:19:54 | 审批=2026-08-21 06:01:54
ID=122684 | 单位ID=0580 | 单号=DOC-00122684 | 类型=工程付款单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 81500.05 | 状态=已驳回   | 提交=2026-08-16 17:21:30 | 审批=无
ID=122693 | 单位ID=0580 | 单号=DOC-00122693 | 类型=工程付款单  | 性质=双轨测试 | 申请人=穆商隐  | 金额= 20212.07 | 状态=处理完成  | 提交=2026-07-18 09:30:33 | 审批=2026-07-18 15:59:33
ID=122695 | 单位ID=0580 | 单号=DOC-00122695 | 类型=工程付款单  | 性质=双轨测试 | 申请人=方婉儿  | 金额= 81196.13 | 状态=处理完成  | 提交=2026-07-27 17:58:08 | 审批=2026-07-28 19:59:08
ID=122703 | 单位ID=0580 | 单号=DOC-00122703 | 类型=工程付款单  | 性质=双轨测试 | 申请人=戚嘉宁  | 金额=  2974.47 | 状态=处理完成  | 提交=2026-07-02 17:28:59 | 审批=2026-07-04 07:11:59
ID=122705 | 单位ID=0580 | 单号=DOC-00122705 | 类型=工程付款单  | 性质=双轨测试 | 申请人=穆商隐  | 金额=  1797.62 | 状态=处理完成  | 提交=2026-06-24 12:00:19 | 审批=2026-06-26 00:09:19
ID=000010 | 单位ID=0001 | 单号=DOC-00000010 | 类型=资产处理单  | 性质=正式业务 | 申请人=卜风华  | 金额= 67376.56 | 状态=处理完成  | 提交=2026-04-21 10:16:58 | 审批=2026-04-22 06:14:58
ID=000023 | 单位ID=0001 | 单号=DOC-00000023 | 类型=资产处理单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 80897.14 | 状态=处理完成  | 提交=2026-07-18 16:02:23 | 审批=2026-07-19 18:26:23
ID=000026 | 单位ID=0001 | 单号=DOC-00000026 | 类型=资产处理单  | 性质=正式业务 | 申请人=米涵亮  | 金额= 22133.45 | 状态=处理完成  | 提交=2026-05-22 09:32:12 | 审批=2026-05-23 11:03:12
ID=000027 | 单位ID=0001 | 单号=DOC-00000027 | 类型=资产处理单  | 性质=正式业务 | 申请人=卜风华  | 金额= 32766.45 | 状态=处理完成  | 提交=2026-04-10 08:08:37 | 审批=2026-04-10 11:28:37
ID=000034 | 单位ID=0001 | 单号=DOC-00000034 | 类型=资产处理单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 31608.34 | 状态=处理完成  | 提交=2026-02-03 09:35:34 | 审批=2026-02-04 22:08:34
ID=000049 | 单位ID=0001 | 单号=DOC-00000049 | 类型=资产处理单  | 性质=正式业务 | 申请人=茅稼轩  | 金额= 63989.54 | 状态=待生成凭证 | 提交=2026-02-06 10:53:46 | 审批=无
ID=000090 | 单位ID=0001 | 单号=DOC-00000090 | 类型=资产处理单  | 性质=正式业务 | 申请人=雷梦溪  | 金额= 40200.96 | 状态=处理完成  | 提交=2026-01-15 12:01:22 | 审批=2026-01-16 05:39:22
ID=000091 | 单位ID=0001 | 单号=DOC-00000091 | 类型=资产处理单  | 性质=正式业务 | 申请人=褚熹   | 金额= 38878.15 | 状态=处理完成  | 提交=2026-05-15 14:39:10 | 审批=2026-05-16 22:17:10
ID=000109 | 单位ID=0001 | 单号=DOC-00000109 | 类型=资产处理单  | 性质=正式业务 | 申请人=赵俊豪  | 金额= 35132.94 | 状态=处理完成  | 提交=2025-11-28 16:22:07 | 审批=2025-11-29 13:46:07
ID=000110 | 单位ID=0001 | 单号=DOC-00000110 | 类型=资产处理单  | 性质=正式业务 | 申请人=米涵亮  | 金额= 52178.97 | 状态=处理完成  | 提交=2026-07-20 11:54:12 | 审批=2026-07-21 16:25:12
ID=000121 | 单位ID=0001 | 单号=DOC-00000121 | 类型=资产处理单  | 性质=正式业务 | 申请人=孟明德  | 金额= 35735.10 | 状态=处理完成  | 提交=2026-06-22 17:47:12 | 审批=2026-06-23 09:14:12
